[06:11:55.256] 学习率0.05,训练200轮,batch为24
[06:11:55.256] kv_attn_rope
[06:11:55.256] Namespace(root_path='/home/user/my_code/Synapse_npy/train/images/', test_path='/home/user/my_code/Synapse_npy/test/images/', dataset='Synapse', list_dir='/home/user/my_code/new_flame/deformableLKA-main/2D/lists/lists_Synapse', num_classes=9, output_dir='./model_out_ab_sy', model_dir='/data/xb_model/compare_model/Synapse', log_dir='/data/xb_train_log', max_iterations=50000, num_workers=4, model_name='kv_attn_rope', operation='学习率0.05,训练200轮,batch为24', n_gpu=1, num_gpu=1, max_epochs=200, eval_interval=10, batch_size=24, base_lr=0.05, deterministic=1, img_size=224, z_spacing=1, seed=1234, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, module=None)
[06:11:55.263] 93 iterations per epoch. 18600 max iterations 
[06:12:01.954] iteration 1 : loss : 1.588063, loss_ce: 2.548299, loss_dice: 0.947906
[06:12:02.337] iteration 2 : loss : 1.387640, loss_ce: 2.086513, loss_dice: 0.921724
[06:12:02.764] iteration 3 : loss : 1.140650, loss_ce: 1.501871, loss_dice: 0.899836
[06:12:03.109] iteration 4 : loss : 0.817332, loss_ce: 0.742574, loss_dice: 0.867170
[06:12:03.933] iteration 5 : loss : 0.652404, loss_ce: 0.364431, loss_dice: 0.844386
[06:12:04.548] iteration 6 : loss : 0.611631, loss_ce: 0.233315, loss_dice: 0.863842
[06:12:04.945] iteration 7 : loss : 0.588996, loss_ce: 0.161456, loss_dice: 0.874022
[06:12:05.309] iteration 8 : loss : 0.616785, loss_ce: 0.227285, loss_dice: 0.876451
[06:12:11.466] iteration 9 : loss : 0.674859, loss_ce: 0.367515, loss_dice: 0.879755
[06:12:11.817] iteration 10 : loss : 0.643753, loss_ce: 0.292651, loss_dice: 0.877820
[06:12:12.199] iteration 11 : loss : 0.583183, loss_ce: 0.185900, loss_dice: 0.848038
[06:12:12.614] iteration 12 : loss : 0.625954, loss_ce: 0.304882, loss_dice: 0.840002
[06:12:14.889] iteration 13 : loss : 0.652881, loss_ce: 0.372107, loss_dice: 0.840064
[06:12:15.278] iteration 14 : loss : 0.636879, loss_ce: 0.356090, loss_dice: 0.824072
[06:12:15.720] iteration 15 : loss : 0.594846, loss_ce: 0.267371, loss_dice: 0.813162
[06:12:16.085] iteration 16 : loss : 0.599033, loss_ce: 0.275928, loss_dice: 0.814436
[06:12:17.769] iteration 17 : loss : 0.601855, loss_ce: 0.282137, loss_dice: 0.815001
[06:12:18.132] iteration 18 : loss : 0.582965, loss_ce: 0.243420, loss_dice: 0.809328
[06:12:18.607] iteration 19 : loss : 0.602735, loss_ce: 0.276696, loss_dice: 0.820095
[06:12:18.997] iteration 20 : loss : 0.634948, loss_ce: 0.358782, loss_dice: 0.819058
[06:12:22.322] iteration 21 : loss : 0.598493, loss_ce: 0.276657, loss_dice: 0.813050
[06:12:22.695] iteration 22 : loss : 0.561949, loss_ce: 0.213455, loss_dice: 0.794278
[06:12:23.074] iteration 23 : loss : 0.575219, loss_ce: 0.238277, loss_dice: 0.799847
[06:12:23.454] iteration 24 : loss : 0.554630, loss_ce: 0.170742, loss_dice: 0.810555
[06:12:27.072] iteration 25 : loss : 0.562039, loss_ce: 0.163604, loss_dice: 0.827663
[06:12:27.447] iteration 26 : loss : 0.574743, loss_ce: 0.198204, loss_dice: 0.825769
[06:12:28.017] iteration 27 : loss : 0.525504, loss_ce: 0.104519, loss_dice: 0.806160
[06:12:28.433] iteration 28 : loss : 0.538627, loss_ce: 0.136990, loss_dice: 0.806385
[06:12:32.157] iteration 29 : loss : 0.567471, loss_ce: 0.183993, loss_dice: 0.823123
[06:12:32.522] iteration 30 : loss : 0.546294, loss_ce: 0.179185, loss_dice: 0.791034
[06:12:32.889] iteration 31 : loss : 0.557634, loss_ce: 0.184656, loss_dice: 0.806287
[06:12:33.255] iteration 32 : loss : 0.552405, loss_ce: 0.193235, loss_dice: 0.791852
[06:12:37.920] iteration 33 : loss : 0.570413, loss_ce: 0.231293, loss_dice: 0.796492
[06:12:38.274] iteration 34 : loss : 0.547459, loss_ce: 0.203739, loss_dice: 0.776606
[06:12:39.014] iteration 35 : loss : 0.533675, loss_ce: 0.141546, loss_dice: 0.795094
[06:12:39.381] iteration 36 : loss : 0.534477, loss_ce: 0.118975, loss_dice: 0.811479
[06:12:41.936] iteration 37 : loss : 0.635012, loss_ce: 0.353871, loss_dice: 0.822439
[06:12:42.287] iteration 38 : loss : 0.566031, loss_ce: 0.209662, loss_dice: 0.803609
[06:12:43.422] iteration 39 : loss : 0.631197, loss_ce: 0.350212, loss_dice: 0.818521
[06:12:43.812] iteration 40 : loss : 0.546239, loss_ce: 0.227739, loss_dice: 0.758573
