[21:48:45.963] 学习率0.05,训练200轮,batch为24
[21:48:45.963] rope_attn_baseline
[21:48:45.963] Namespace(root_path='/home/user/my_code/Synapse_npy/train/images/', test_path='/home/user/my_code/Synapse_npy/test/images/', dataset='Synapse', list_dir='/home/user/my_code/new_flame/deformableLKA-main/2D/lists/lists_Synapse', num_classes=9, output_dir='./model_out_ab_sy', model_dir='/data/xb_model/compare_model/Synapse', log_dir='/data/xb_train_log', max_iterations=50000, num_workers=4, model_name='rope_attn_baseline', operation='学习率0.05,训练200轮,batch为24', n_gpu=1, num_gpu=1, max_epochs=200, eval_interval=10, batch_size=24, base_lr=0.05, deterministic=1, img_size=224, z_spacing=1, seed=1234, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, module=None)
[21:48:45.971] 93 iterations per epoch. 18600 max iterations 
[21:48:52.721] iteration 1 : loss : 1.587650, loss_ce: 2.548337, loss_dice: 0.947191
[21:48:53.077] iteration 2 : loss : 1.389739, loss_ce: 2.090689, loss_dice: 0.922438
[21:48:53.422] iteration 3 : loss : 1.134143, loss_ce: 1.484854, loss_dice: 0.900335
[21:48:53.858] iteration 4 : loss : 0.808984, loss_ce: 0.722317, loss_dice: 0.866762
[21:48:55.456] iteration 5 : loss : 0.650891, loss_ce: 0.355443, loss_dice: 0.847857
[21:48:55.913] iteration 6 : loss : 0.611780, loss_ce: 0.231772, loss_dice: 0.865118
[21:48:56.315] iteration 7 : loss : 0.586108, loss_ce: 0.158273, loss_dice: 0.871331
[21:48:56.699] iteration 8 : loss : 0.608250, loss_ce: 0.209412, loss_dice: 0.874142
[21:49:03.133] iteration 9 : loss : 0.660300, loss_ce: 0.336190, loss_dice: 0.876373
[21:49:03.705] iteration 10 : loss : 0.597893, loss_ce: 0.213953, loss_dice: 0.853853
[21:49:04.134] iteration 11 : loss : 0.575169, loss_ce: 0.197877, loss_dice: 0.826696
[21:49:04.546] iteration 12 : loss : 0.609918, loss_ce: 0.291499, loss_dice: 0.822198
[21:49:06.923] iteration 13 : loss : 0.614618, loss_ce: 0.315095, loss_dice: 0.814300
[21:49:07.291] iteration 14 : loss : 0.628794, loss_ce: 0.339705, loss_dice: 0.821520
[21:49:07.742] iteration 15 : loss : 0.580616, loss_ce: 0.246715, loss_dice: 0.803216
[21:49:08.079] iteration 16 : loss : 0.566512, loss_ce: 0.219350, loss_dice: 0.797953
[21:49:09.738] iteration 17 : loss : 0.571078, loss_ce: 0.222335, loss_dice: 0.803573
[21:49:10.097] iteration 18 : loss : 0.563971, loss_ce: 0.211624, loss_dice: 0.798869
[21:49:10.502] iteration 19 : loss : 0.585515, loss_ce: 0.256111, loss_dice: 0.805118
[21:49:10.864] iteration 20 : loss : 0.605128, loss_ce: 0.322461, loss_dice: 0.793573
[21:49:13.531] iteration 21 : loss : 0.579765, loss_ce: 0.255349, loss_dice: 0.796043
[21:49:14.625] iteration 22 : loss : 0.579192, loss_ce: 0.214222, loss_dice: 0.822506
[21:49:15.061] iteration 23 : loss : 0.614364, loss_ce: 0.282840, loss_dice: 0.835380
[21:49:15.420] iteration 24 : loss : 0.534713, loss_ce: 0.139463, loss_dice: 0.798213
[21:49:18.216] iteration 25 : loss : 0.554926, loss_ce: 0.150718, loss_dice: 0.824398
[21:49:18.673] iteration 26 : loss : 0.555439, loss_ce: 0.184626, loss_dice: 0.802647
[21:49:19.262] iteration 27 : loss : 0.522254, loss_ce: 0.109524, loss_dice: 0.797407
[21:49:19.653] iteration 28 : loss : 0.528280, loss_ce: 0.133838, loss_dice: 0.791242
[21:49:22.459] iteration 29 : loss : 0.562140, loss_ce: 0.191529, loss_dice: 0.809213
[21:49:22.900] iteration 30 : loss : 0.553006, loss_ce: 0.199671, loss_dice: 0.788562
[21:49:23.589] iteration 31 : loss : 0.551153, loss_ce: 0.178135, loss_dice: 0.799832
[21:49:24.067] iteration 32 : loss : 0.531622, loss_ce: 0.161989, loss_dice: 0.778044
[21:49:28.391] iteration 33 : loss : 0.561506, loss_ce: 0.218752, loss_dice: 0.790008
[21:49:30.399] iteration 34 : loss : 0.520748, loss_ce: 0.168620, loss_dice: 0.755501
[21:49:30.781] iteration 35 : loss : 0.527754, loss_ce: 0.152171, loss_dice: 0.778143
[21:49:31.130] iteration 36 : loss : 0.520162, loss_ce: 0.124567, loss_dice: 0.783892
[21:49:32.225] iteration 37 : loss : 0.617864, loss_ce: 0.329955, loss_dice: 0.809802
[21:49:34.694] iteration 38 : loss : 0.547373, loss_ce: 0.198090, loss_dice: 0.780229
[21:49:35.080] iteration 39 : loss : 0.609564, loss_ce: 0.330965, loss_dice: 0.795296
[21:49:35.442] iteration 40 : loss : 0.573091, loss_ce: 0.277327, loss_dice: 0.770267
[21:49:40.121] iteration 41 : loss : 0.567999, loss_ce: 0.247279, loss_dice: 0.781812
[21:49:40.939] iteration 42 : loss : 0.587348, loss_ce: 0.233573, loss_dice: 0.823199
[21:49:41.710] iteration 43 : loss : 0.534853, loss_ce: 0.170183, loss_dice: 0.777967
[21:49:42.134] iteration 44 : loss : 0.516727, loss_ce: 0.146257, loss_dice: 0.763707
[21:49:44.718] iteration 45 : loss : 0.558010, loss_ce: 0.189865, loss_dice: 0.803440
[21:49:47.164] iteration 46 : loss : 0.555077, loss_ce: 0.180170, loss_dice: 0.805014
[21:49:47.917] iteration 47 : loss : 0.522303, loss_ce: 0.132413, loss_dice: 0.782231
[21:49:48.283] iteration 48 : loss : 0.563498, loss_ce: 0.209448, loss_dice: 0.799532
[21:49:51.256] iteration 49 : loss : 0.551351, loss_ce: 0.212247, loss_dice: 0.777420
[21:49:52.726] iteration 50 : loss : 0.578259, loss_ce: 0.277217, loss_dice: 0.778953
[21:49:53.535] iteration 51 : loss : 0.536054, loss_ce: 0.231058, loss_dice: 0.739384
[21:49:53.890] iteration 52 : loss : 0.564612, loss_ce: 0.265053, loss_dice: 0.764318
[21:49:55.875] iteration 53 : loss : 0.550925, loss_ce: 0.232451, loss_dice: 0.763241
