[20:50:32.731] 学习率0.05,训练200轮,batch为24
[20:50:32.731] standard_baseline
[20:50:32.732] Namespace(root_path='/home/user/my_code/Synapse_npy/train/images/', test_path='/home/user/my_code/Synapse_npy/test/images/', dataset='Synapse', list_dir='/home/user/my_code/new_flame/deformableLKA-main/2D/lists/lists_Synapse', num_classes=9, output_dir='./model_out_ab_sy', model_dir='/data/xb_model/compare_model/Synapse', log_dir='/data/xb_train_log', max_iterations=50000, num_workers=4, model_name='standard_baseline', operation='学习率0.05,训练200轮,batch为24', n_gpu=1, num_gpu=0, max_epochs=200, eval_interval=10, batch_size=24, base_lr=0.05, deterministic=1, img_size=224, z_spacing=1, seed=1234, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, module=None)
[20:50:32.738] 93 iterations per epoch. 18600 max iterations 
[20:50:38.725] iteration 1 : loss : 1.402617, loss_ce: 2.105548, loss_dice: 0.933996
[20:50:39.066] iteration 2 : loss : 1.229811, loss_ce: 1.712827, loss_dice: 0.907800
[20:50:39.403] iteration 3 : loss : 0.970473, loss_ce: 1.132899, loss_dice: 0.862189
[20:50:39.761] iteration 4 : loss : 0.693965, loss_ce: 0.457028, loss_dice: 0.851923
[20:50:40.888] iteration 5 : loss : 0.623093, loss_ce: 0.254808, loss_dice: 0.868617
[20:50:41.257] iteration 6 : loss : 0.620388, loss_ce: 0.225133, loss_dice: 0.883890
[20:50:41.600] iteration 7 : loss : 0.655219, loss_ce: 0.305995, loss_dice: 0.888034
[20:50:41.942] iteration 8 : loss : 0.672519, loss_ce: 0.347375, loss_dice: 0.889282
[20:50:47.477] iteration 9 : loss : 0.668843, loss_ce: 0.340623, loss_dice: 0.887656
[20:50:47.868] iteration 10 : loss : 0.661113, loss_ce: 0.333746, loss_dice: 0.879357
[20:50:48.212] iteration 11 : loss : 0.646590, loss_ce: 0.327423, loss_dice: 0.859368
[20:50:48.573] iteration 12 : loss : 0.556273, loss_ce: 0.165566, loss_dice: 0.816744
[20:50:50.729] iteration 13 : loss : 0.583088, loss_ce: 0.207335, loss_dice: 0.833590
[20:50:51.074] iteration 14 : loss : 0.567713, loss_ce: 0.177627, loss_dice: 0.827771
[20:50:51.405] iteration 15 : loss : 0.590969, loss_ce: 0.273650, loss_dice: 0.802515
[20:50:51.742] iteration 16 : loss : 0.594117, loss_ce: 0.274588, loss_dice: 0.807136
[20:50:53.994] iteration 17 : loss : 0.564954, loss_ce: 0.198467, loss_dice: 0.809279
[20:50:54.326] iteration 18 : loss : 0.610731, loss_ce: 0.296139, loss_dice: 0.820459
[20:50:54.655] iteration 19 : loss : 0.621916, loss_ce: 0.321335, loss_dice: 0.822302
[20:50:55.027] iteration 20 : loss : 0.574269, loss_ce: 0.205685, loss_dice: 0.819991
[20:50:57.167] iteration 21 : loss : 0.583607, loss_ce: 0.214600, loss_dice: 0.829612
[20:50:57.506] iteration 22 : loss : 0.590501, loss_ce: 0.246161, loss_dice: 0.820060
[20:50:57.852] iteration 23 : loss : 0.550351, loss_ce: 0.171734, loss_dice: 0.802763
[20:50:58.184] iteration 24 : loss : 0.561523, loss_ce: 0.194511, loss_dice: 0.806197
[20:51:00.838] iteration 25 : loss : 0.551976, loss_ce: 0.171033, loss_dice: 0.805938
[20:51:01.173] iteration 26 : loss : 0.554160, loss_ce: 0.133459, loss_dice: 0.834628
[20:51:01.515] iteration 27 : loss : 0.593247, loss_ce: 0.253501, loss_dice: 0.819743
[20:51:01.859] iteration 28 : loss : 0.556960, loss_ce: 0.153475, loss_dice: 0.825949
[20:51:05.205] iteration 29 : loss : 0.561738, loss_ce: 0.181105, loss_dice: 0.815494
[20:51:05.556] iteration 30 : loss : 0.552699, loss_ce: 0.160802, loss_dice: 0.813964
[20:51:05.891] iteration 31 : loss : 0.561963, loss_ce: 0.198183, loss_dice: 0.804482
[20:51:06.230] iteration 32 : loss : 0.550915, loss_ce: 0.194336, loss_dice: 0.788635
[20:51:10.096] iteration 33 : loss : 0.556758, loss_ce: 0.228455, loss_dice: 0.775627
[20:51:10.435] iteration 34 : loss : 0.552084, loss_ce: 0.219878, loss_dice: 0.773555
[20:51:10.788] iteration 35 : loss : 0.539191, loss_ce: 0.192512, loss_dice: 0.770311
[20:51:11.123] iteration 36 : loss : 0.547287, loss_ce: 0.200532, loss_dice: 0.778458
[20:51:14.094] iteration 37 : loss : 0.563667, loss_ce: 0.235198, loss_dice: 0.782646
[20:51:14.437] iteration 38 : loss : 0.592777, loss_ce: 0.302018, loss_dice: 0.786615
[20:51:14.791] iteration 39 : loss : 0.563727, loss_ce: 0.228680, loss_dice: 0.787092
[20:51:15.128] iteration 40 : loss : 0.571976, loss_ce: 0.298265, loss_dice: 0.754450
[20:51:20.747] iteration 41 : loss : 0.534121, loss_ce: 0.215151, loss_dice: 0.746767
[20:51:21.084] iteration 42 : loss : 0.535328, loss_ce: 0.198768, loss_dice: 0.759701
[20:51:21.467] iteration 43 : loss : 0.565112, loss_ce: 0.213211, loss_dice: 0.799712
[20:51:21.799] iteration 44 : loss : 0.534001, loss_ce: 0.216829, loss_dice: 0.745448
[20:51:25.401] iteration 45 : loss : 0.556732, loss_ce: 0.158031, loss_dice: 0.822532
[20:51:25.736] iteration 46 : loss : 0.552687, loss_ce: 0.177092, loss_dice: 0.803084
[20:51:26.065] iteration 47 : loss : 0.566686, loss_ce: 0.209576, loss_dice: 0.804759
[20:51:26.405] iteration 48 : loss : 0.545823, loss_ce: 0.138915, loss_dice: 0.817095
[20:51:29.686] iteration 49 : loss : 0.579885, loss_ce: 0.261677, loss_dice: 0.792024
[20:51:30.037] iteration 50 : loss : 0.532911, loss_ce: 0.181401, loss_dice: 0.767251
[20:51:30.394] iteration 51 : loss : 0.520233, loss_ce: 0.195483, loss_dice: 0.736733
[20:51:30.751] iteration 52 : loss : 0.540739, loss_ce: 0.211914, loss_dice: 0.759955
[20:51:33.997] iteration 53 : loss : 0.514962, loss_ce: 0.197066, loss_dice: 0.726894
[20:51:34.331] iteration 54 : loss : 0.513319, loss_ce: 0.199120, loss_dice: 0.722785
[20:51:34.662] iteration 55 : loss : 0.545400, loss_ce: 0.256886, loss_dice: 0.737743
[20:51:34.994] iteration 56 : loss : 0.519847, loss_ce: 0.207166, loss_dice: 0.728301
[20:51:36.658] iteration 57 : loss : 0.544368, loss_ce: 0.217033, loss_dice: 0.762592
[20:51:36.989] iteration 58 : loss : 0.493228, loss_ce: 0.163680, loss_dice: 0.712927
[20:51:37.323] iteration 59 : loss : 0.474495, loss_ce: 0.131901, loss_dice: 0.702891
[20:51:37.683] iteration 60 : loss : 0.504788, loss_ce: 0.196258, loss_dice: 0.710474
[20:51:39.904] iteration 61 : loss : 0.540682, loss_ce: 0.198353, loss_dice: 0.768901
[20:51:40.238] iteration 62 : loss : 0.540246, loss_ce: 0.264574, loss_dice: 0.724027
[20:51:40.577] iteration 63 : loss : 0.546032, loss_ce: 0.199582, loss_dice: 0.776999
[20:51:40.927] iteration 64 : loss : 0.500822, loss_ce: 0.178628, loss_dice: 0.715618
[20:51:43.193] iteration 65 : loss : 0.499675, loss_ce: 0.163247, loss_dice: 0.723960
[20:51:43.530] iteration 66 : loss : 0.468856, loss_ce: 0.163122, loss_dice: 0.672679
[20:51:43.872] iteration 67 : loss : 0.479584, loss_ce: 0.161673, loss_dice: 0.691525
[20:51:44.222] iteration 68 : loss : 0.438158, loss_ce: 0.106979, loss_dice: 0.658944
[20:51:46.539] iteration 69 : loss : 0.517912, loss_ce: 0.170458, loss_dice: 0.749548
[20:51:46.877] iteration 70 : loss : 0.488809, loss_ce: 0.137581, loss_dice: 0.722961
[20:51:47.217] iteration 71 : loss : 0.460611, loss_ce: 0.112994, loss_dice: 0.692355
[20:51:47.549] iteration 72 : loss : 0.485277, loss_ce: 0.173005, loss_dice: 0.693459
[20:51:48.931] iteration 73 : loss : 0.537353, loss_ce: 0.203486, loss_dice: 0.759930
[20:51:49.321] iteration 74 : loss : 0.459015, loss_ce: 0.118296, loss_dice: 0.686161
[20:51:49.664] iteration 75 : loss : 0.499790, loss_ce: 0.143467, loss_dice: 0.737338
[20:51:50.066] iteration 76 : loss : 0.483263, loss_ce: 0.137960, loss_dice: 0.713466
[20:51:53.226] iteration 77 : loss : 0.543654, loss_ce: 0.232429, loss_dice: 0.751136
[20:51:53.576] iteration 78 : loss : 0.558174, loss_ce: 0.207336, loss_dice: 0.792066
[20:51:53.977] iteration 79 : loss : 0.579126, loss_ce: 0.214054, loss_dice: 0.822506
[20:51:54.321] iteration 80 : loss : 0.481795, loss_ce: 0.168900, loss_dice: 0.690392
[20:51:57.524] iteration 81 : loss : 0.497323, loss_ce: 0.177623, loss_dice: 0.710456
[20:51:57.903] iteration 82 : loss : 0.449077, loss_ce: 0.135383, loss_dice: 0.658207
[20:51:58.240] iteration 83 : loss : 0.506898, loss_ce: 0.200507, loss_dice: 0.711158
[20:51:58.574] iteration 84 : loss : 0.438398, loss_ce: 0.135237, loss_dice: 0.640505
[20:52:02.177] iteration 85 : loss : 0.545230, loss_ce: 0.257129, loss_dice: 0.737297
[20:52:02.551] iteration 86 : loss : 0.499946, loss_ce: 0.227092, loss_dice: 0.681849
[20:52:02.931] iteration 87 : loss : 0.472440, loss_ce: 0.148127, loss_dice: 0.688648
[20:52:03.269] iteration 88 : loss : 0.508316, loss_ce: 0.223206, loss_dice: 0.698389
[20:52:05.617] iteration 89 : loss : 0.485950, loss_ce: 0.161117, loss_dice: 0.702505
[20:52:05.949] iteration 90 : loss : 0.473528, loss_ce: 0.135980, loss_dice: 0.698560
[20:52:06.281] iteration 91 : loss : 0.486032, loss_ce: 0.162415, loss_dice: 0.701777
[20:52:06.613] iteration 92 : loss : 0.534508, loss_ce: 0.230968, loss_dice: 0.736868
[20:52:06.770] iteration 93 : loss : 0.566877, loss_ce: 0.111780, loss_dice: 0.870276
[20:52:06.791] epoch 1 : avg_loss : 0.565740, avg_ce: 0.253248, avg_dice: 0.774067
[20:52:10.965] iteration 94 : loss : 0.481454, loss_ce: 0.189131, loss_dice: 0.676336
[20:52:11.559] iteration 95 : loss : 0.506276, loss_ce: 0.212160, loss_dice: 0.702354
[20:52:11.950] iteration 96 : loss : 0.492188, loss_ce: 0.196291, loss_dice: 0.689453
[20:52:12.290] iteration 97 : loss : 0.424420, loss_ce: 0.130563, loss_dice: 0.620326
[20:52:14.946] iteration 98 : loss : 0.510579, loss_ce: 0.176135, loss_dice: 0.733541
[20:52:15.312] iteration 99 : loss : 0.422778, loss_ce: 0.140063, loss_dice: 0.611255
[20:52:15.720] iteration 100 : loss : 0.463566, loss_ce: 0.205979, loss_dice: 0.635291
[20:52:16.091] iteration 101 : loss : 0.408528, loss_ce: 0.108310, loss_dice: 0.608672
[20:52:20.862] iteration 102 : loss : 0.445323, loss_ce: 0.142095, loss_dice: 0.647475
[20:52:21.200] iteration 103 : loss : 0.451449, loss_ce: 0.141888, loss_dice: 0.657824
[20:52:21.585] iteration 104 : loss : 0.438868, loss_ce: 0.113360, loss_dice: 0.655873
[20:52:21.926] iteration 105 : loss : 0.504351, loss_ce: 0.166955, loss_dice: 0.729281
[20:52:24.086] iteration 106 : loss : 0.465095, loss_ce: 0.146394, loss_dice: 0.677562
[20:52:24.433] iteration 107 : loss : 0.401479, loss_ce: 0.093498, loss_dice: 0.606801
[20:52:24.770] iteration 108 : loss : 0.458959, loss_ce: 0.164000, loss_dice: 0.655598
[20:52:25.106] iteration 109 : loss : 0.521105, loss_ce: 0.132093, loss_dice: 0.780446
[20:52:26.940] iteration 110 : loss : 0.496187, loss_ce: 0.182170, loss_dice: 0.705532
[20:52:27.278] iteration 111 : loss : 0.422522, loss_ce: 0.123231, loss_dice: 0.622049
[20:52:27.611] iteration 112 : loss : 0.467627, loss_ce: 0.168080, loss_dice: 0.667326
[20:52:27.944] iteration 113 : loss : 0.451196, loss_ce: 0.143674, loss_dice: 0.656211
[20:52:29.493] iteration 114 : loss : 0.481322, loss_ce: 0.203152, loss_dice: 0.666768
[20:52:29.834] iteration 115 : loss : 0.509485, loss_ce: 0.220233, loss_dice: 0.702320
[20:52:30.173] iteration 116 : loss : 0.465397, loss_ce: 0.190744, loss_dice: 0.648498
[20:52:30.506] iteration 117 : loss : 0.484178, loss_ce: 0.170558, loss_dice: 0.693258
[20:52:33.007] iteration 118 : loss : 0.489239, loss_ce: 0.225666, loss_dice: 0.664954
[20:52:33.362] iteration 119 : loss : 0.441316, loss_ce: 0.121350, loss_dice: 0.654627
[20:52:33.730] iteration 120 : loss : 0.420975, loss_ce: 0.166489, loss_dice: 0.590633
[20:52:34.109] iteration 121 : loss : 0.393390, loss_ce: 0.115231, loss_dice: 0.578830
[20:52:37.830] iteration 122 : loss : 0.462111, loss_ce: 0.198660, loss_dice: 0.637745
[20:52:38.184] iteration 123 : loss : 0.445227, loss_ce: 0.177954, loss_dice: 0.623409
[20:52:38.521] iteration 124 : loss : 0.404322, loss_ce: 0.110576, loss_dice: 0.600152
[20:52:38.861] iteration 125 : loss : 0.424027, loss_ce: 0.108295, loss_dice: 0.634515
[20:52:43.243] iteration 126 : loss : 0.386005, loss_ce: 0.118265, loss_dice: 0.564498
[20:52:43.579] iteration 127 : loss : 0.363909, loss_ce: 0.113918, loss_dice: 0.530570
[20:52:43.927] iteration 128 : loss : 0.378469, loss_ce: 0.120507, loss_dice: 0.550444
[20:52:44.268] iteration 129 : loss : 0.423636, loss_ce: 0.154149, loss_dice: 0.603294
[20:52:46.425] iteration 130 : loss : 0.403196, loss_ce: 0.174392, loss_dice: 0.555732
[20:52:46.760] iteration 131 : loss : 0.446145, loss_ce: 0.212008, loss_dice: 0.602237
[20:52:47.107] iteration 132 : loss : 0.460392, loss_ce: 0.192926, loss_dice: 0.638702
[20:52:47.470] iteration 133 : loss : 0.430262, loss_ce: 0.212093, loss_dice: 0.575707
[20:52:51.684] iteration 134 : loss : 0.415989, loss_ce: 0.159665, loss_dice: 0.586872
[20:52:52.021] iteration 135 : loss : 0.409101, loss_ce: 0.158925, loss_dice: 0.575886
[20:52:52.363] iteration 136 : loss : 0.479871, loss_ce: 0.190093, loss_dice: 0.673056
[20:52:52.701] iteration 137 : loss : 0.385092, loss_ce: 0.129896, loss_dice: 0.555223
[20:52:55.740] iteration 138 : loss : 0.497137, loss_ce: 0.167551, loss_dice: 0.716862
[20:52:56.119] iteration 139 : loss : 0.443405, loss_ce: 0.126201, loss_dice: 0.654875
[20:52:56.777] iteration 140 : loss : 0.457279, loss_ce: 0.153667, loss_dice: 0.659687
[20:52:57.755] iteration 141 : loss : 0.464127, loss_ce: 0.141030, loss_dice: 0.679525
[20:53:01.619] iteration 142 : loss : 0.431712, loss_ce: 0.166800, loss_dice: 0.608319
[20:53:01.970] iteration 143 : loss : 0.477358, loss_ce: 0.174970, loss_dice: 0.678950
[20:53:02.343] iteration 144 : loss : 0.418424, loss_ce: 0.140189, loss_dice: 0.603914
[20:53:02.771] iteration 145 : loss : 0.393524, loss_ce: 0.138522, loss_dice: 0.563526
[20:53:05.915] iteration 146 : loss : 0.421757, loss_ce: 0.166724, loss_dice: 0.591778
[20:53:06.261] iteration 147 : loss : 0.390903, loss_ce: 0.159933, loss_dice: 0.544882
[20:53:06.613] iteration 148 : loss : 0.340575, loss_ce: 0.091008, loss_dice: 0.506953
